location,Medellín
lat,6.25154
lon,-75.54994
asl,2043.341
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Medellín Temperature [2 m elevation corrected]
20220316T0600,15.739214
20220316T0700,17.029213
20220316T0800,18.629213
20220316T0900,20.209213
20220316T1000,21.849215
20220316T1100,24.039213
20220316T1200,23.589214
20220316T1300,23.709213
20220316T1400,23.189215
20220316T1500,22.499214
20220316T1600,21.819214
20220316T1700,21.929214
20220316T1800,20.509214
20220316T1900,19.969213
20220316T2000,19.479214
20220316T2100,18.909214
20220316T2200,18.379213
20220316T2300,18.239214
20220317T0000,18.149214
20220317T0100,17.859215
20220317T0200,17.459213
20220317T0300,17.079214
20220317T0400,16.769215
20220317T0500,16.519215
20220317T0600,16.289215
20220317T0700,16.749214
